cell_x,cell_y,time_step,zscore,pvalue
0,0,0,3.925,1.00E-04
0,1,0,3.944,1.00E-04
0,2,0,3.922,1.00E-04
0,3,0,3.92,1.00E-04
0,4,0,3.973,1.00E-04
0,5,0,3.932,1.00E-04
0,6,0,3.99,1.00E-04
0,7,0,3.998,1.00E-04
0,8,0,3.958,1.00E-04
0,9,0,3.985,1.00E-04
1,0,0,3.986,1.00E-04
1,1,0,3.921,1.00E-04
1,2,0,3.964,1.00E-04
1,3,0,3.932,1.00E-04
1,4,0,3.999,1.00E-04
1,5,0,3.98,1.00E-04
1,6,0,3.933,1.00E-04
1,7,0,3.982,1.00E-04
1,8,0,3.943,1.00E-04
1,9,0,3.958,1.00E-04
2,0,0,3.963,1.00E-04
2,1,0,3.973,1.00E-04
2,2,0,3.949,1.00E-04
2,3,0,3.929,1.00E-04
2,4,0,3.985,1.00E-04
2,5,0,3.986,1.00E-04
2,6,0,3.946,1.00E-04
2,7,0,3.927,1.00E-04
2,8,0,3.969,1.00E-04
2,9,0,3.97,1.00E-04
3,0,0,3.995,1.00E-04
3,1,0,3.93,1.00E-04
3,2,0,3.996,1.00E-04
3,3,0,3.996,1.00E-04
3,4,0,3.93,1.00E-04
3,5,0,3.942,1.00E-04
3,6,0,3.953,1.00E-04
3,7,0,3.936,1.00E-04
3,8,0,3.964,1.00E-04
3,9,0,3.959,1.00E-04
4,0,0,3.966,1.00E-04
4,1,0,3.929,1.00E-04
4,2,0,3.944,1.00E-04
4,3,0,3.936,1.00E-04
4,4,0,3.975,1.00E-04
4,5,0,3.928,1.00E-04
4,6,0,3.979,1.00E-04
4,7,0,3.951,1.00E-04
4,8,0,3.937,1.00E-04
4,9,0,3.952,1.00E-04
5,0,0,3.938,1.00E-04
5,1,0,3.962,1.00E-04
5,2,0,3.929,1.00E-04
5,3,0,3.948,1.00E-04
5,4,0,3.988,1.00E-04
5,5,0,3.999,1.00E-04
5,6,0,3.991,1.00E-04
5,7,0,3.943,1.00E-04
5,8,0,3.979,1.00E-04
5,9,0,3.966,1.00E-04
6,0,0,3.968,1.00E-04
6,1,0,3.921,1.00E-04
6,2,0,3.924,1.00E-04
6,3,0,3.96,1.00E-04
6,4,0,3.967,1.00E-04
6,5,0,3.942,1.00E-04
6,6,0,3.979,1.00E-04
6,7,0,3.962,1.00E-04
6,8,0,3.991,1.00E-04
6,9,0,3.934,1.00E-04
7,0,0,3.942,1.00E-04
7,1,0,3.945,1.00E-04
7,2,0,3.934,1.00E-04
7,3,0,3.972,1.00E-04
7,4,0,3.984,1.00E-04
7,5,0,3.929,1.00E-04
7,6,0,3.96,1.00E-04
7,7,0,3.953,1.00E-04
7,8,0,3.942,1.00E-04
7,9,0,3.939,1.00E-04
8,0,0,3.962,1.00E-04
8,1,0,3.982,1.00E-04
8,2,0,3.923,1.00E-04
8,3,0,3.937,1.00E-04
8,4,0,3.946,1.00E-04
8,5,0,3.939,1.00E-04
8,6,0,3.974,1.00E-04
8,7,0,3.956,1.00E-04
8,8,0,3.981,1.00E-04
8,9,0,3.945,1.00E-04
9,0,0,3.997,1.00E-04
9,1,0,3.955,1.00E-04
9,2,0,3.926,1.00E-04
9,3,0,3.981,1.00E-04
9,4,0,3.984,1.00E-04
9,5,0,3.998,1.00E-04
9,6,0,3.997,1.00E-04
9,7,0,3.954,1.00E-04
9,8,0,3.977,1.00E-04
9,9,0,3.984,1.00E-04
0,0,1,3.922,1.00E+00
0,1,1,3.93,2.00E+00
0,2,1,3.961,3.00E+00
0,3,1,3.937,4.00E+00
0,4,1,3.971,5.00E+00
0,5,1,3.992,6.00E+00
0,6,1,3.934,7.00E+00
0,7,1,3.944,8.00E+00
0,8,1,3.977,9.00E+00
0,9,1,3.992,1.00E+01
1,0,1,3.989,1.10E+01
1,1,1,3.989,1.20E+01
1,2,1,3.926,1.30E+01
1,3,1,3.94,1.40E+01
1,4,1,3.968,1.50E+01
1,5,1,3.959,1.60E+01
1,6,1,3.969,1.70E+01
1,7,1,3.939,1.80E+01
1,8,1,3.923,1.90E+01
1,9,1,3.95,2.00E+01
2,0,1,3.968,2.10E+01
2,1,1,3.992,2.20E+01
2,2,1,3.955,2.30E+01
2,3,1,3.947,2.40E+01
2,4,1,3.984,2.50E+01
2,5,1,3.921,2.60E+01
2,6,1,3.97,2.70E+01
2,7,1,3.982,2.80E+01
2,8,1,3.937,2.90E+01
2,9,1,3.921,3.00E+01
3,0,1,3.993,3.10E+01
3,1,1,3.991,3.20E+01
3,2,1,3.994,3.30E+01
3,3,1,3.959,3.40E+01
3,4,1,3.959,3.50E+01
3,5,1,3.954,3.60E+01
3,6,1,3.984,3.70E+01
3,7,1,3.944,3.80E+01
3,8,1,3.972,3.90E+01
3,9,1,3.924,4.00E+01
4,0,1,3.999,4.10E+01
4,1,1,3.941,4.20E+01
4,2,1,3.972,4.30E+01
4,3,1,3.982,4.40E+01
4,4,1,3.92,4.50E+01
4,5,1,3.952,4.60E+01
4,6,1,3.987,4.70E+01
4,7,1,3.928,4.80E+01
4,8,1,3.925,4.90E+01
4,9,1,3.96,5.00E+01
5,0,1,3.964,5.10E+01
5,1,1,3.991,5.20E+01
5,2,1,3.954,5.30E+01
5,3,1,3.928,5.40E+01
5,4,1,3.926,5.50E+01
5,5,1,3.972,5.60E+01
5,6,1,3.991,5.70E+01
5,7,1,3.958,5.80E+01
5,8,1,3.969,5.90E+01
5,9,1,3.925,6.00E+01
6,0,1,3.947,6.10E+01
6,1,1,3.973,6.20E+01
6,2,1,3.99,6.30E+01
6,3,1,3.943,6.40E+01
6,4,1,3.976,6.50E+01
6,5,1,3.964,6.60E+01
6,6,1,3.973,6.70E+01
6,7,1,3.947,6.80E+01
6,8,1,3.995,6.90E+01
6,9,1,3.952,7.00E+01
7,0,1,3.996,7.10E+01
7,1,1,3.927,7.20E+01
7,2,1,3.965,7.30E+01
7,3,1,3.971,7.40E+01
7,4,1,3.994,7.50E+01
7,5,1,3.925,7.60E+01
7,6,1,3.984,7.70E+01
7,7,1,3.981,7.80E+01
7,8,1,3.978,7.90E+01
7,9,1,3.953,8.00E+01
8,0,1,3.941,8.10E+01
8,1,1,3.982,8.20E+01
8,2,1,3.978,8.30E+01
8,3,1,3.929,8.40E+01
8,4,1,3.923,8.50E+01
8,5,1,3.963,8.60E+01
8,6,1,3.959,8.70E+01
8,7,1,3.969,8.80E+01
8,8,1,3.973,8.90E+01
8,9,1,3.934,9.00E+01
9,0,1,3.992,9.10E+01
9,1,1,3.927,9.20E+01
9,2,1,3.978,9.30E+01
9,3,1,3.978,9.40E+01
9,4,1,3.982,9.50E+01
9,5,1,3.95,9.60E+01
9,6,1,3.944,9.70E+01
9,7,1,3.957,9.80E+01
9,8,1,3.941,9.90E+01
9,9,1,3.991,1.00E+02
0,0,2,3.924,1.01E+02
0,1,2,3.931,1.02E+02
0,2,2,3.922,1.03E+02
0,3,2,3.946,1.04E+02
0,4,2,3.934,1.05E+02
0,5,2,3.921,1.06E+02
0,6,2,3.946,1.07E+02
0,7,2,3.928,1.08E+02
0,8,2,3.928,1.09E+02
0,9,2,3.985,1.10E+02
1,0,2,3.931,1.11E+02
1,1,2,3.937,1.12E+02
1,2,2,3.992,1.13E+02
1,3,2,3.965,1.14E+02
1,4,2,3.976,1.15E+02
1,5,2,3.939,1.16E+02
1,6,2,3.949,1.17E+02
1,7,2,3.924,1.18E+02
1,8,2,3.946,1.19E+02
1,9,2,3.97,1.20E+02
2,0,2,3.981,1.21E+02
2,1,2,3.957,1.22E+02
2,2,2,3.973,1.23E+02
2,3,2,3.995,1.24E+02
2,4,2,3.921,1.25E+02
2,5,2,3.964,1.26E+02
2,6,2,3.931,1.27E+02
2,7,2,3.967,1.28E+02
2,8,2,3.921,1.29E+02
2,9,2,3.93,1.30E+02
3,0,2,3.972,1.31E+02
3,1,2,3.981,1.32E+02
3,2,2,3.92,1.33E+02
3,3,2,3.959,1.34E+02
3,4,2,3.973,1.35E+02
3,5,2,3.997,1.36E+02
3,6,2,3.939,1.37E+02
3,7,2,3.998,1.38E+02
3,8,2,3.934,1.39E+02
3,9,2,3.926,1.40E+02
4,0,2,3.972,1.41E+02
4,1,2,3.944,1.42E+02
4,2,2,3.92,1.43E+02
4,3,2,3.998,1.44E+02
4,4,2,3.982,1.45E+02
4,5,2,3.968,1.46E+02
4,6,2,3.921,1.47E+02
4,7,2,3.952,1.48E+02
4,8,2,3.966,1.49E+02
4,9,2,3.997,1.50E+02
5,0,2,3.986,1.51E+02
5,1,2,3.942,1.52E+02
5,2,2,3.971,1.53E+02
5,3,2,3.953,1.54E+02
5,4,2,3.939,1.55E+02
5,5,2,3.955,1.56E+02
5,6,2,3.958,1.57E+02
5,7,2,3.944,1.58E+02
5,8,2,3.97,1.59E+02
5,9,2,3.96,1.60E+02
6,0,2,3.971,1.61E+02
6,1,2,3.921,1.62E+02
6,2,2,3.93,1.63E+02
6,3,2,3.975,1.64E+02
6,4,2,3.964,1.65E+02
6,5,2,3.995,1.66E+02
6,6,2,3.971,1.67E+02
6,7,2,3.98,1.68E+02
6,8,2,3.947,1.69E+02
6,9,2,3.949,1.70E+02
7,0,2,3.947,1.71E+02
7,1,2,3.954,1.72E+02
7,2,2,3.951,1.73E+02
7,3,2,3.973,1.74E+02
7,4,2,3.944,1.75E+02
7,5,2,3.967,1.76E+02
7,6,2,3.932,1.77E+02
7,7,2,3.999,1.78E+02
7,8,2,3.945,1.79E+02
7,9,2,3.988,1.80E+02
8,0,2,3.921,1.81E+02
8,1,2,3.994,1.82E+02
8,2,2,3.96,1.83E+02
8,3,2,3.965,1.84E+02
8,4,2,3.985,1.85E+02
8,5,2,3.939,1.86E+02
8,6,2,3.966,1.87E+02
8,7,2,3.968,1.88E+02
8,8,2,3.936,1.89E+02
8,9,2,3.957,1.90E+02
9,0,2,3.949,1.91E+02
9,1,2,3.956,1.92E+02
9,2,2,3.985,1.93E+02
9,3,2,3.936,1.94E+02
9,4,2,3.938,1.95E+02
9,5,2,3.932,1.96E+02
9,6,2,3.959,1.97E+02
9,7,2,3.923,1.98E+02
9,8,2,3.988,1.99E+02
9,9,2,3.947,2.00E+02
0,0,3,3.92,2.01E+02
0,1,3,3.942,2.02E+02
